company_name,high,low,last_price,prev_close,change,percent_gain
Swan Energy,463.80,430.50,452.90,422.40,30.5,7.22
Welspun Corp,520.90,490.10,517.55,487.85,29.7,6.09
Quess Corp,499.00,476.00,492.40,464.80,27.6,5.94
Global Health,958.00,925.00,955.80,902.80,53,5.87
BSE Limited,"2,168.50","2,100.00","2,114.00","2,010.75",103.25,5.13
Shyam Metalics,474.45,465.30,474.10,456.30,17.8,3.9
IFB Industries,960.00,922.00,956.80,921.70,35.1,3.81
MMTC Ltd,54.25,51.95,53.65,51.70,1.95,3.77
Engineers India,142.75,138.60,142.70,137.70,5,3.63
Hind Copper,150.80,148.10,150.25,145.05,5.2,3.58
Asahi India,583.50,570.00,577.35,558.60,18.75,3.36
Data Patterns,"1,896.05","1,860.00","1,893.75","1,832.60",61.15,3.34
Greenpanel Ind,333.00,322.00,332.95,322.85,10.1,3.13
KFin Tech,530.00,514.30,527.00,511.05,15.95,3.12
CDSL,"1,840.00","1,809.00","1,827.70","1,777.05",50.65,2.85
MCX India,"2,704.80","2,626.00","2,677.00","2,603.90",73.1,2.81
Biocon,236.00,230.00,233.75,227.40,6.35,2.79
Finolex Ind,195.30,192.30,195.10,189.80,5.3,2.79
Amber Enterpris,"3,160.85","3,129.95","3,135.70","3,051.65",84.05,2.75
eClerx Services,"2,238.00","2,160.20","2,210.35","2,151.90",58.45,2.72
MOTHERSON,91.00,89.85,90.80,88.40,2.4,2.71
Lemon Tree,116.65,115.50,116.15,113.10,3.05,2.7
New India Assur,144.25,139.35,141.75,138.05,3.7,2.68
AAVAS Financier,"1,519.90","1,495.00","1,508.00","1,468.95",39.05,2.66
Power Finance,296.50,289.50,295.25,287.70,7.55,2.62
Mahindra Life,521.95,511.05,519.95,506.70,13.25,2.61
NMDC Steel,41.50,41.00,41.45,40.40,1.05,2.6
PNC Infratech,325.90,320.00,324.25,316.05,8.2,2.59
Coal India,336.70,328.25,331.75,323.40,8.35,2.58
GE Shipping,780.00,764.00,777.00,757.65,19.35,2.55
CenturyPlyboard,665.00,646.80,651.50,635.95,15.55,2.45
Gujarat Pipavav,138.50,136.85,138.30,135.00,3.3,2.44
Natco Pharma,787.00,775.35,785.10,766.55,18.55,2.42
Polyplex Corp,"1,065.00","1,045.00","1,064.80","1,039.65",25.15,2.42
United Brewerie,"1,618.80","1,575.25","1,613.25","1,575.25",38,2.41
Godrej Ind,691.00,676.00,684.25,668.25,16,2.39
CAMS,"2,495.00","2,463.15","2,483.00","2,425.40",57.6,2.37
NCC,157.40,155.00,156.95,153.35,3.6,2.35
C. E. Info Syst,"2,125.00","2,080.05","2,105.00","2,057.55",47.45,2.31
PCBL,216.40,212.50,215.25,210.40,4.85,2.31
Lakshmi Machine,"13,138.00","13,000.00","13,130.00","12,837.75",292.25,2.28
Latent View,422.40,415.15,418.70,409.40,9.3,2.27
Archean Chem,539.00,532.00,539.00,527.10,11.9,2.26
Piramal Pharma,121.00,119.30,120.70,118.10,2.6,2.2
EPL,198.65,194.90,196.95,192.75,4.2,2.18
Anupam Rasayan,930.00,918.00,926.00,906.30,19.7,2.17
JBM Auto,"1,220.00","1,201.05","1,219.00","1,193.10",25.9,2.17
JM Financial,83.00,82.30,82.80,81.05,1.75,2.16
ZFCVINDIA,"16,745.30","16,610.05","16,740.00","16,387.35",352.65,2.15
Prism Johnson,157.95,154.00,156.50,153.30,3.2,2.09
RITES,449.00,445.25,447.85,438.75,9.1,2.07
APTUS VALUE,308.40,304.35,306.55,300.45,6.1,2.03
Restaurant Bran,116.45,114.85,116.25,113.95,2.3,2.02
BLS Internation,280.50,275.30,280.00,274.45,5.55,2.02
GMM Pfaudler,"1,722.45","1,687.00","1,719.85","1,686.05",33.8,2
G R Infra,"1,169.90","1,113.00","1,129.00","1,106.85",22.15,2
JSW Energy,392.10,384.80,390.35,382.70,7.65,2
Rossari,730.75,715.95,730.15,715.85,14.3,2
EID Parry,517.80,510.00,513.35,503.35,10,1.99
Bikaji Foods,527.90,519.45,526.00,515.80,10.2,1.98
Indigo Paints,"1,539.00","1,525.35","1,532.70","1,502.95",29.75,1.98
Happiest Minds ,843.20,829.00,842.00,825.85,16.15,1.96
KPIT Tech,"1,415.00","1,373.05","1,396.00","1,369.20",26.8,1.96
NMDC,172.75,170.40,171.95,168.70,3.25,1.93
Campus Active,264.25,259.95,263.80,258.85,4.95,1.91
Zensar Tech,490.55,483.00,490.20,481.00,9.2,1.91
Go Fashion,"1,303.95","1,240.05","1,262.25","1,238.75",23.5,1.9
ITI,266.00,261.00,263.80,258.90,4.9,1.89
Sun Pharma Adv,262.40,257.00,258.65,253.85,4.8,1.89
Ingersoll Rand,"2,954.35","2,900.00","2,946.45","2,892.35",54.1,1.87
SAIL,90.20,88.10,89.75,88.10,1.65,1.87
Sterling Wilson,284.95,276.40,283.80,278.60,5.2,1.87
Triveni Engg,369.65,360.45,362.25,355.60,6.65,1.87
Jindal Stainles,484.60,474.85,483.40,474.60,8.8,1.85
Olectra Greente,"1,185.00","1,170.00","1,183.95","1,162.55",21.4,1.84
Affle India,"1,036.60","1,025.10","1,036.00","1,017.60",18.4,1.81
Rain Industries,147.20,145.00,146.70,144.10,2.6,1.8
Equitas Bank,97.45,96.25,97.10,95.40,1.7,1.78
Aether Ind,917.15,900.40,907.00,891.20,15.8,1.77
Vijaya Diagnost,649.10,632.05,641.05,630.10,10.95,1.74
Sonata,"1,347.40","1,325.00","1,340.60","1,317.85",22.75,1.73
United Spirits,"1,066.75","1,046.40","1,062.30","1,044.35",17.95,1.72
Rajesh Exports,442.45,436.55,442.00,434.60,7.4,1.7
Suven Pharma,598.95,586.00,590.45,580.70,9.75,1.68
Coromandel Int,"1,121.10","1,101.90","1,115.80","1,097.50",18.3,1.67
Motilal Oswal,"1,049.95","1,028.00","1,043.70","1,026.70",17,1.66
TMB,536.00,526.00,531.95,523.25,8.7,1.66
Intellect Desig,672.70,663.00,672.15,661.25,10.9,1.65
Amara Raja,638.90,632.00,638.45,628.15,10.3,1.64
UPL,557.85,550.25,556.05,547.15,8.9,1.63
BEML,"2,219.95","2,190.60","2,206.00","2,170.85",35.15,1.62
Bombay Burmah,"1,498.65","1,461.45","1,483.50","1,459.95",23.55,1.61
Suprajit Eng,378.00,373.05,373.85,368.00,5.85,1.59
Jindal Worldwid,346.00,337.45,343.10,337.80,5.3,1.57
MTAR Tech,"2,269.00","2,242.00","2,252.00","2,217.50",34.5,1.56
Fine Organics,"4,295.00","4,247.00","4,290.00","4,224.45",65.55,1.55
Indiabulls Hsg,173.00,170.25,170.50,167.90,2.6,1.55
Motherson SWI,59.80,59.15,59.65,58.75,0.9,1.53
Zomato,123.95,122.00,123.15,121.30,1.85,1.53
Kansai Nerolac,309.00,306.65,309.00,304.40,4.6,1.51
Kajaria Ceramic,"1,305.00","1,290.70","1,295.00","1,275.75",19.25,1.51
JK Lakshmi Cem,794.00,778.35,789.00,777.35,11.65,1.5
Godrej Agrovet,484.90,478.40,482.65,475.55,7.1,1.49
