company_name,high,low,last_price,prev_close,change,percent_gain
DCM Shriram,"1,474.90","1,224.30","1,425.50","1,237.90",187.60,15.15
Aster DM Health,675.00,595.45,650.05,593.20,56.85,9.58
Motilal Oswal,940.00,858.15,929.10,855.80,73.30,8.57
Authum Invest,"2,698.00","2,495.20","2,683.60","2,500.00",183.60,7.34
Honeywell Autom,"41,450.00","38,970.00","41,200.00","38,815.00","2,385.00",6.14
Bosch,"34,875.00","32,450.00","34,405.00","32,445.00","1,960.00",6.04
Natco Pharma,977.00,917.05,973.60,921.95,51.65,5.6
Eris Life,"1,735.90","1,610.50","1,718.60","1,631.30",87.30,5.35
Latent View,450.00,420.00,446.70,425.00,21.70,5.11
Blue Star,"1,848.20","1,737.20","1,842.30","1,756.10",86.20,4.91
Rainbow Child,"1,600.00","1,513.10","1,586.10","1,517.80",68.30,4.5
360 ONE WAM,"1,235.50","1,174.90","1,226.60","1,177.20",49.40,4.2
360 ONE WAM,"1,235.50","1,174.90","1,226.60","1,177.20",49.40,4.2
Cohance Life,"1,016.95",968.75,"1,007.40",967.80,39.60,4.09
Oil India,454.25,436.60,452.95,435.90,17.05,3.91
AFFLE 3I,"2,080.00","1,975.10","2,044.80","1,968.80",76.00,3.86
KPR Mill,"1,173.50","1,095.60","1,150.20","1,109.40",40.80,3.68
RHI Magnesita,486.60,465.00,483.10,466.05,17.05,3.66
CCL Products,892.40,851.05,884.95,855.65,29.30,3.42
SBFC Finance,111.50,106.69,110.94,107.32,3.62,3.37
Ajanta Pharma,"2,655.30","2,550.00","2,631.50","2,548.90",82.60,3.24
J. K. Cement,"6,400.00","6,159.00","6,347.00","6,159.00",188.00,3.05
ABSL AMC,820.90,789.00,817.30,793.15,24.15,3.04
Wockhardt,"1,761.00","1,680.50","1,748.40","1,697.70",50.70,2.99
Ipca Labs,"1,433.90","1,377.70","1,415.70","1,375.10",40.60,2.95
JM Financial,169.47,158.55,166.91,162.24,4.67,2.88
V-Guard Ind,399.40,384.50,394.35,383.30,11.05,2.88
Triveni Turbine,640.00,616.50,637.05,619.25,17.80,2.87
Chambal Fert,567.50,547.25,565.15,549.90,15.25,2.77
Voltas,"1,380.00","1,327.30","1,367.00","1,332.80",34.20,2.57
NAVA,618.00,596.80,613.45,598.50,14.95,2.5
Radico Khaitan,"2,588.00","2,502.00","2,581.40","2,519.00",62.40,2.48
BSE Limited,"2,825.90","2,742.50","2,820.10","2,752.40",67.70,2.46
Usha Martin,377.25,362.00,371.85,362.95,8.90,2.45
Vijaya Diagnost,"1,015.00",980.40,"1,003.15",979.85,23.30,2.38
MRPL,151.40,144.10,147.62,144.23,3.39,2.35
R R Kabel,"1,415.00","1,362.90","1,393.00","1,362.60",30.40,2.23
United Brewerie,"1,988.00","1,933.50","1,982.50","1,939.60",42.90,2.21
KNR Construct,224.25,217.02,223.43,218.61,4.82,2.2
PG Electroplast,769.75,737.00,762.25,745.95,16.30,2.19
PG Electroplast,769.75,737.00,762.25,745.95,16.30,2.19
Alivus Life,"1,044.00",996.00,"1,033.10","1,011.50",21.60,2.14
Clean Science,"1,490.00","1,446.00","1,485.00","1,454.20",30.80,2.12
Global Health,"1,200.00","1,163.70","1,190.60","1,166.10",24.50,2.1
Thermax,"3,583.70","3,420.90","3,483.90","3,412.20",71.70,2.1
Zee Entertain,144.84,140.06,143.94,141.01,2.93,2.08
KEI Industries,"3,874.00","3,760.30","3,840.70","3,764.00",76.70,2.04
BEML,"4,485.00","4,328.20","4,453.10","4,366.40",86.70,1.99
Himadri Special,508.70,489.40,503.70,493.95,9.75,1.97
Alembic Pharma,"1,012.90",980.20,"1,007.40",988.50,18.90,1.91
Network 18,59.45,56.45,58.11,57.02,1.09,1.91
PVR INOX,982.35,956.05,978.15,960.10,18.05,1.88
IGIL,378.40,360.00,372.05,365.35,6.70,1.83
MM Financial,273.80,262.70,266.50,261.75,4.75,1.81
Kajaria Ceramic,"1,151.00","1,108.00","1,140.60","1,120.60",20.00,1.78
CRISIL,"6,075.00","5,862.00","6,041.00","5,936.00",105.00,1.77
Sobha,"1,519.00","1,471.10","1,512.20","1,486.20",26.00,1.75
JSW Holdings,"22,740.00","22,210.00","22,595.00","22,210.00",385.00,1.73
AIA Engineering,"3,331.40","3,270.00","3,309.80","3,254.10",55.70,1.71
UPL,687.75,670.10,684.15,672.65,11.50,1.71
PI Industries,"4,260.00","4,161.00","4,238.60","4,167.80",70.80,1.7
Cera Sanitary,"6,800.00","6,650.00","6,765.00","6,653.00",112.00,1.68
Amber Enterpris,"7,398.50","7,120.00","7,345.00","7,224.50",120.50,1.67
Apollo Hospital,"7,600.50","7,440.00","7,565.00","7,441.00",124.00,1.67
Chennai Petro,734.00,701.75,712.40,700.70,11.70,1.67
Sundaram Fin,"5,190.00","5,050.00","5,140.00","5,057.50",82.50,1.63
Dr Reddys Labs,"1,297.60","1,270.00","1,291.30","1,270.80",20.50,1.61
Dr Reddys Labs,"1,297.60","1,270.00","1,291.30","1,270.80",20.50,1.61
KPIT Tech,"1,266.00","1,238.70","1,261.60","1,241.60",20.00,1.61
Biocon,376.30,367.10,374.45,368.55,5.90,1.6
Hero Motocorp,"4,350.00","4,238.00","4,310.60","4,243.70",66.90,1.58
Motherson SWI,61.75,59.50,60.38,59.45,0.93,1.56
NMDC,69.66,68.16,69.06,68.02,1.04,1.53
Valor Estate,231.00,222.47,229.25,225.84,3.41,1.51
Kirloskar Bros,"2,289.00","2,170.50","2,242.60","2,209.70",32.90,1.49
HBL Eng,645.90,622.00,636.05,626.85,9.20,1.47
CDSL,"1,809.80","1,764.70","1,804.90","1,779.00",25.90,1.46
Havells India,"1,591.40","1,545.20","1,572.60","1,550.50",22.10,1.43
